日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,三大法人買賣超股數,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額
115/04/01,"46,457,423","85,667,372,522","1,840.00","1,855.00","1,830.00","1,855.00",+95.00,"103,263",,"32,698,191","26,516,909","6,181,282","814,380","181,000","633,380","2,462,791","9,277,453","1,268","1,485",38,"26,608","26,353",0,9,0,0,9
115/04/02,"29,332,490","53,540,295,381","1,865.00","1,865.00","1,805.00","1,810.00",-45.00,"189,628",,"10,910,818","20,296,421","-9,385,603","355,229","548,000","-192,771","136,029","-9,442,345","1,312",873,194,"26,353","26,598",5,3,0,9,7
115/04/07,"19,895,445","36,785,851,775","1,850.00","1,860.00","1,835.00","1,860.00",+50.00,"72,329",,"13,401,937","7,521,487","5,880,450","474,851","54,000","420,851","91,348","6,392,649",391,970,19,"26,598","26,000",2,14,0,7,19
115/04/08,"53,813,263","104,453,237,705","1,935.00","1,950.00","1,925.00","1,950.00",+90.00,"169,595",,"34,485,923","16,092,438","18,393,485","561,553","109,894","451,659","1,711,231","20,556,375","2,882","2,057",28,"26,000","26,797",1,21,0,19,39
115/04/09,"36,054,784","70,112,621,815","1,945.00","1,955.00","1,930.00","1,955.00",+5.00,"90,439",,"23,398,275","22,676,385","721,890","195,274","298,909","-103,635","-497,421","120,834",998,953,13,"26,604","26,636",17,3,1,56,41
115/04/10,"39,096,242","77,669,362,959","1,975.00","2,000.00","1,970.00","2,000.00",+45.00,"125,121",,"25,486,225","17,326,284","8,159,941","277,922","453,311","-175,389","374,684","8,359,236","1,848","1,211",56,"26,636","27,217",2,21,0,41,60
115/04/13,"31,882,568","63,311,620,986","1,985.00","1,995.00","1,975.00","1,990.00",-10.00,"123,461",,"15,951,429","17,226,816","-1,275,387","689,684","5,513,074","-4,823,390","53,293","-6,045,484","1,565",635,6,"27,217","28,141",8,1,0,60,53
115/04/14,"46,188,401","93,890,695,630","2,015.00","2,055.00","2,010.00","2,055.00",+65.00,"175,477",,"32,090,833","13,136,172","18,954,661","898,365","283,235","615,130","653,489","20,223,280","1,280","2,063",59,"28,141","27,299",6,25,1,53,71
115/04/15,"46,824,833","97,435,290,780","2,065.00","2,100.00","2,060.00","2,080.00",+25.00,"144,126",,"31,651,129","26,825,169","4,825,960","454,695","593,117","-138,422","243,749","4,931,287",851,"1,259",12,"27,298","26,878",4,29,0,71,96
115/04/16,"35,974,352","74,662,997,629","2,080.00","2,090.00","2,055.00","2,085.00",+5.00,"121,077",,"19,097,134","21,486,969","-2,389,835","707,494","401,355","306,139","1,083,874","-999,822","1,495","1,485",23,"26,878","26,865",12,44,0,96,128
115/04/17,"44,433,257","90,757,552,556","2,055.00","2,060.00","2,030.00","2,030.00",-55.00,"254,377",,"15,452,539","24,835,310","-9,382,771","652,645","2,838,308","-2,185,663","-269,860","-11,838,294","1,692","2,866",21,"26,865","25,670",15,2,0,128,115
115/04/20,"30,566,172","62,379,639,275","2,030.00","2,055.00","2,025.00","2,025.00",-5.00,"99,020",,"16,900,879","19,933,694","-3,032,815","1,143,681","483,177","660,504","-70,119","-2,442,430",945,577,26,"25,670","26,012",45,9,0,115,79
115/04/21,"28,055,761","57,761,069,758","2,050.00","2,075.00","2,045.00","2,050.00",+25.00,"75,235",,"17,300,175","15,090,012","2,210,163","1,472,758","776,600","696,158","-77,223","2,829,098",496,"1,379",22,"26,012","25,107",9,12,0,79,82
115/04/22,"27,457,065","56,435,407,734","2,045.00","2,070.00","2,040.00","2,050.00", 0.00,"83,438",,"14,012,121","16,144,334","-2,132,213","756,989","1,498,898","-741,909","-326,126","-3,200,248","1,017",812,57,"25,107","25,255",10,6,0,82,78
115/04/23,"54,918,117","114,822,791,851","2,090.00","2,135.00","2,055.00","2,080.00",+30.00,"161,370",,"32,304,325","25,110,997","7,193,328","1,155,000","400,635","754,365","-1,379,028","6,568,665","1,154","1,912",27,"25,255","24,470",8,11,0,78,81
115/04/24,"52,391,785","112,917,570,260","2,110.00","2,190.00","2,105.00","2,185.00",+105.00,"174,859",,"29,417,275","21,111,683","8,305,592","1,792,000","623,844","1,168,156","255,728","9,729,476","3,179","1,657",34,"24,470","25,958",5,40,1,81,115
115/04/27,"79,778,277","183,309,899,207","2,280.00","2,330.00","2,265.00","2,265.00",+80.00,"323,994",,"28,464,159","47,404,324","-18,940,165","5,553,520","269,712","5,283,808","248,266","-13,408,091","4,712","1,692",19,"25,958","28,959",10,27,6,115,126
