日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,三大法人買賣超股數,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額
115/01/28,"31,327,933","56,586,009,010","1,790.00","1,820.00","1,790.00","1,820.00",+40.00,"79,936",,"20,965,596","13,252,017","7,713,579","915,601","251,609","663,992","385,704","8,763,275",700,764,70,"19,791","19,657",10,30,0,327,347
115/01/29,"36,079,326","65,452,000,580","1,830.00","1,835.00","1,800.00","1,805.00",-15.00,"112,652",,"18,214,850","26,844,240","-8,629,390","732,000","716,869","15,131","279,882","-8,334,377",873,543,80,"19,657","19,907",23,20,1,347,343
115/01/30,"46,341,867","82,692,717,518","1,790.00","1,800.00","1,775.00","1,775.00",-30.00,"155,495",,,,,,,,,,"1,656",756,23,"19,907","20,784",92,4,0,343,255
115/02/02,"33,342,359","58,467,099,660","1,750.00","1,765.00","1,745.00","1,765.00",-10.00,"227,693",,"8,957,320","18,802,251","-9,844,931","2,298,000","252,622","2,045,378","185,608","-7,613,945",754,743,18,"20,784","20,777",28,44,0,255,271
115/02/03,"30,386,718","54,587,495,232","1,810.00","1,810.00","1,785.00","1,800.00",+35.00,"63,370",,"15,564,667","18,488,288","-2,923,621","1,262,733","180,188","1,082,545","-11,495","-1,852,571","1,979",696,181,"20,777","21,879",17,1,0,271,255
115/02/04,"29,087,857","51,994,350,134","1,785.00","1,805.00","1,775.00","1,785.00",-15.00,"89,612",,"11,790,955","21,436,231","-9,645,276","1,007,021","166,700","840,321","428,404","-8,376,551",733,180,158,"21,879","22,274",9,8,0,255,254
115/02/05,"28,974,303","51,204,573,629","1,765.00","1,780.00","1,760.00","1,765.00",-20.00,"119,686",,"9,963,715","19,632,073","-9,668,358","1,379,087","143,180","1,235,907","-537,317","-8,969,768","1,195",341,7,"22,274","23,121",25,10,0,254,239
115/02/06,"36,484,181","64,250,417,914","1,745.00","1,780.00","1,740.00","1,780.00",+15.00,"117,607",,"16,700,789","23,275,238","-6,574,449","1,257,514","295,199","962,315","-1,071,881","-6,684,015",567,729,21,"23,121","22,938",11,27,0,239,255
115/02/09,"40,350,444","73,691,322,355","1,830.00","1,835.00","1,815.00","1,815.00",+35.00,"80,215",,"26,070,743","23,151,442","2,919,301","395,841","128,600","267,241","6,580","3,193,122","1,343","1,310",12,"22,938","22,959",38,7,0,255,224
115/02/10,"45,674,475","85,190,057,142","1,845.00","1,880.00","1,840.00","1,880.00",+65.00,"102,694",,"32,089,194","19,455,207","12,633,987","567,500","326,858","240,642","-431,349","12,443,280",860,"2,487",88,"22,959","21,244",6,32,2,224,248
