"日期","open","high","low","收盤價","成交量","ema12","ema26","dif","macd_signal","macd_hist","k","d","外資買賣超","投信買賣超","融資餘額"
"2026-01-02","970.0","998.0","969.0","995.0","14649316","955.4566567635757","950.6047727916433","4.85","-1.5671969417118994","6.42","86.5","75.63","3399839","515930","8342"
"2026-01-05","1010.0","1025.0","1000.0","1010.0","13808472","963.8479403384101","955.0044192515215","8.84","0.5149466640081977","8.33","86.69","79.31","4375970","161851","8705"
"2026-01-06","1005.0","1050.0","983.0","1050.0","17611330","977.1021033632701","962.0411289365941","15.06","3.424152216541761","11.64","91.13","83.25","5431658","17058","8427"
"2026-01-07","1080.0","1085.0","988.0","1030.0","18956362","985.2402413073823","967.0751193857353","18.17","6.372346157562815","11.79","80.7","82.4","-1886230","172820","8036"
"2026-01-08","1035.0","1040.0","1010.0","1010.0","9495549","989.0494349524004","970.2547401719771","18.79","8.8568158821349","9.94","68.62","77.81","1843635","-49059","7244"
"2026-01-09","1000.0","1030.0","995.0","1015.0","7818509","993.0418295751081","973.5692038629418","19.47","10.979977848141178","8.49","61.79","72.47","492615","29398","7411"
"2026-01-12","1040.0","1065.0","1035.0","1055.0","12690911","1002.5738557943223","979.6011146879091","22.97","13.37853049979558","9.59","67.12","70.69","2883681","462118","7644"
"2026-01-13","1070.0","1080.0","1025.0","1030.0","12476270","1006.7932625951958","983.3343654517677","23.46","15.394603828522083","8.06","64.5","68.63","-534901","-198511","7293"
"2026-01-14","1040.0","1070.0","1040.0","1060.0","9296311","1014.9789145036272","989.0133013442293","25.97","17.508805694697244","8.46","69.15","68.8","1481676","460951","7607"
"2026-01-15","1055.0","1060.0","1025.0","1045.0","8579869","1019.5975430415306","993.1604642076197","26.44","19.294460322539965","7.14","66.36","67.99","-1022692","-86390","7627"
"2026-01-16","1075.0","1135.0","1060.0","1125.0","24482607","1035.8133056505258","1002.926355747796","32.89","22.012958238577916","10.87","75.38","70.45","6222515","176509","8803"
"2026-01-19","1145.0","1160.0","1110.0","1120.0","12864701","1048.7651047812142","1011.5984775442556","37.17","25.043692038254047","12.12","75.84","72.25","-1327151","-11928","8803"
"2026-01-20","1105.0","1140.0","1100.0","1130.0","7555816","1061.2627809687197","1020.3689606891255","40.89","28.213717686522067","12.68","77.83","74.11","304796","147323","8340"
"2026-01-21","1130.0","1185.0","1115.0","1135.0","18878632","1072.6069685119935","1028.8601487862272","43.75","31.32033809437091","12.43","76.45","74.89","2394722","-315360","8402"
"2026-01-22","1200.0","1245.0","1195.0","1245.0","20586581","1099.1289733563021","1044.8705081353955","54.26","35.90796351967805","18.35","84.3","78.02","3200183","778976","8789"
